Year,Quarter,State,Tax_Category,Tax_Code,Amount
2004,1,Alabama,Property tax,T01,120297.0
2004,1,Alabama,General sales and gross receipts,T09,451925.0
2004,1,Alabama,Alcoholic beverages,T10,32628.0
2004,1,Alabama,Amusements,T11,19.0
2004,1,Alabama,Insurance,T12,54784.0
2004,1,Alabama,Motor fuel sales taxes,T13,130150.0
2004,1,Alabama,Pari-mutuels,T14,805.0
2004,1,Alabama,Public utilities,T15,155718.0
2004,1,Alabama,Tobacco products,T16,14538.0
2004,1,Alabama,Other selective sales and gross receipts,T19,36285.0
2004,1,Alabama,Alcoholic beverages,T20,115.0
2004,1,Alabama,Amusements,T21,0.0
2004,1,Alabama,Corporations in general,T22,37381.0
2004,1,Alabama,Hunting and fishing licenses,T23,2642.0
2004,1,Alabama,Motor vehicles,T24,40038.0
2004,1,Alabama,Motor vehicle operator,T25,4723.0
2004,1,Alabama,Public utilities,T27,2249.0
2004,1,Alabama,Occupation and business licenses,T28,27377.0
2004,1,Alabama,Other licenses taxes,T29,1.0
2004,1,Alabama,Individual income taxes,T40,451611.0
2004,1,Alabama,Corporation net income taxes,T41,55276.0
2004,1,Alabama,Death and gift taxes,T50,7614.0
2004,1,Alabama,Documentary and stock transfer taxes,T51,9575.0
2004,1,Alabama,Severance taxes,T53,25762.0
2004,1,Alabama,Other miscellaneous taxes,T99,0.0
2004,1,Alaska,Property tax,T01,-13.0
2004,1,Alaska,General sales and gross receipts,T09,0.0
2004,1,Alaska,Alcoholic beverages,T10,7184.0
2004,1,Alaska,Amusements,T11,499.0
2004,1,Alaska,Insurance,T12,17775.0
2004,1,Alaska,Motor fuel sales taxes,T13,9426.0
2004,1,Alaska,Pari-mutuels,T14,0.0
2004,1,Alaska,Public utilities,T15,3727.0
2004,1,Alaska,Tobacco products,T16,11625.0
2004,1,Alaska,Other selective sales and gross receipts,T19,0.0
2004,1,Alaska,Alcoholic beverages,T20,820.0
2004,1,Alaska,Amusements,T21,1.0
2004,1,Alaska,Corporations in general,T22,800.0
2004,1,Alaska,Hunting and fishing licenses,T23,1399.0
2004,1,Alaska,Motor vehicles,T24,10091.0
2004,1,Alaska,Motor vehicle operator,T25,0.0
2004,1,Alaska,Public utilities,T27,53.0
2004,1,Alaska,Occupation and business licenses,T28,2334.0
2004,1,Alaska,Other licenses taxes,T29,890.0
2004,1,Alaska,Individual income taxes,T40,0.0
2004,1,Alaska,Corporation net income taxes,T41,4256.0
2004,1,Alaska,Death and gift taxes,T50,540.0
2004,1,Alaska,Documentary and stock transfer taxes,T51,0.0
2004,1,Alaska,Severance taxes,T53,198920.0
2004,1,Alaska,Other miscellaneous taxes,T99,0.0
2004,1,Arizona,Property tax,T01,86606.0
2004,1,Arizona,General sales and gross receipts,T09,1232426.0
2004,1,Arizona,Alcoholic beverages,T10,14395.0
2004,1,Arizona,Amusements,T11,156.0
2004,1,Arizona,Insurance,T12,78213.0
2004,1,Arizona,Motor fuel sales taxes,T13,167941.0
2004,1,Arizona,Pari-mutuels,T14,141.0
2004,1,Arizona,Public utilities,T15,8654.0
2004,1,Arizona,Tobacco products,T16,68687.0
2004,1,Arizona,Other selective sales and gross receipts,T19,0.0
2004,1,Arizona,Alcoholic beverages,T20,933.0
2004,1,Arizona,Amusements,T21,7.0
